,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-06-30,-50355.487767166196,0.0,0.0,-26513.27049841875,73546.47002180656,64691.92151402805,0.0
2023-07-03,-3728.84617488375,-0.0,0.0,-15114.314415366,-67459.25405556495,8761.91582891385,0.0
2023-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-05,0.0,0.0,-0.0,11155.05054190395,-39356.536864922105,1041.55401017025,0.0
2023-07-06,0.0,0.0,-0.0,14872.069769454902,-36325.86002508105,-12914.113997279701,-0.0
2023-07-07,-0.0,0.0,0.0,-20792.29728496095,-20448.1866715209,-18134.62369500915,0.0
2023-07-10,0.0,-0.0,0.0,0.0,215847.485387325,30433.59436267485,0.0
2023-07-11,0.0,0.0,0.0,-0.0,140852.6886166461,18445.63991107815,-0.0
2023-07-12,-0.0,0.0,0.0,0.0,-224886.94957580266,-40638.7811646135,0.0
2023-07-13,0.0,0.0,0.0,0.0,-197521.8638863806,52489.62463410585,0.0
2023-07-14,0.0,-0.0,0.0,-0.0,-13610.1806893872,1248.65049803715,0.0
2023-07-17,-19712.4305917653,-11072.3031067293,-0.0,36269.14262933745,20412.91991712195,23617.5850310292,-0.0
2023-07-18,42397.06668526665,20361.29272107975,0.0,6335.6889947157,0.0,-14356.72455382755,0.0
2023-07-19,27506.10940284645,-5087.58693774345,0.0,6768.99251517285,-0.0,-11229.65786170845,0.0
2023-07-20,-10041.7960764702,3563.36303831505,-0.0,-8957.697329073151,0.0,3329.2233712575,-0.0
2023-07-21,-14883.779467724851,18075.1185150363,-0.0,7213.268010220199,-0.0,2498.0998869742502,-0.0
2023-07-24,72639.6877948653,-763.2879953287501,-0.0,-16384.14431857395,-45355.0779877959,-6865.7323012281,-0.0
2023-07-25,-7436.65392738765,0.0,0.0,-26211.6111001986,56687.3166043008,-0.0,0.0
2023-07-26,-42090.3309294594,-0.0,0.0,5890.5159451722,-81783.151935804,0.0,0.0
2023-07-27,-14855.410916279548,0.0,-0.0,11562.8646331161,-217669.00438298518,-0.0,-0.0
2023-07-28,-29689.11703480905,0.0,0.0,-22236.8035960683,51917.316402096454,-0.0,0.0
2023-07-31,-14228.9546046075,21904.083261420303,0.0,-1526.36831418105,25360.1716292442,-0.0,0.0
2023-08-01,-0.0,-8185.181265908101,-0.0,-0.0,-0.0,0.0,-0.0
2023-08-02,-0.0,-35822.6488443861,-0.0,-0.0,-0.0,-0.0,-0.0
2023-08-03,-0.0,39275.62137102465,-0.0,0.0,0.0,0.0,-0.0
